date,year,trap_id,trap_type,length,order,family
6/7/2021,2021,c17,m,4.637,lepidoptera,lepidoptera
6/7/2021,2021,c17,m,3.52,lepidoptera,lepidoptera
6/7/2021,2021,c17,m,3.034,lepidoptera,lepidoptera
6/7/2021,2021,c17,m,0.643,diptera,culicomorpha
6/7/2021,2021,c17,m,1.177,lepidoptera,lepidoptera
6/7/2021,2021,c17,m,3.356,hymenoptera,hymenoptera
6/7/2021,2021,c17,m,0.89,lepidoptera,lepidoptera
6/19/2021,2021,c10,m,1.821,diptera,culicomorpha
6/19/2021,2021,c10,m,1.629,diptera,culicomorpha
6/19/2021,2021,c10,m,1.856,diptera,culicomorpha
6/19/2021,2021,c10,m,2.569,diptera,diptera
6/19/2021,2021,c10,m,1.039,diptera,culicomorpha
6/19/2021,2021,c10,m,3.543,coleoptera,coleoptera
6/19/2021,2021,c10,m,3.026,lepidoptera,lepidoptera
6/19/2021,2021,c10,m,4.651,lepidoptera,lepidoptera
6/19/2021,2021,c10,m,1.37,lepidoptera,lepidoptera
6/19/2021,2021,c10,m,2.978,lepidoptera,lepidoptera
6/19/2021,2021,c10,m,2.726,lepidoptera,lepidoptera
6/19/2021,2021,c10,m,3.31,lepidoptera,lepidoptera
6/19/2021,2021,c10,m,2.486,lepidoptera,lepidoptera
6/19/2021,2021,c10,m,2.299,lepidoptera,lepidoptera
6/19/2021,2021,c10,m,1.388,lepidoptera,lepidoptera
6/19/2021,2021,c10,m,1.354,lepidoptera,lepidoptera
6/19/2021,2021,c10,m,5.111,diptera,diptera
6/19/2021,2021,c10,m,1.399,diptera,culicomorpha
6/19/2021,2021,c10,m,3.44,hemiptera,hemiptera
6/19/2021,2021,c10,m,3.454,hemiptera,hemiptera
6/19/2021,2021,c10,m,1.778,hemiptera,hemiptera
6/19/2021,2021,c10,m,0.907,hymenoptera,hymenoptera
6/19/2021,2021,c10,m,0.929,diptera,culicomorpha
6/19/2021,2021,c10,m,0.832,diptera,culicomorpha
6/19/2021,2021,c10,m,0.885,diptera,culicomorpha
