sample-id,source,dry-mass,quality-ng-ul,sample-num,clean,collect-date,source-year,collect-time,x-decimal-deg,y-decimal-deg
CONI-20802-1,Citrus,NA,0.928,1,y,6/14/2021,Citrus-1,22:50,28.71333743,-82.41798862
CONI-20802-2,Citrus,0,3.34,2,y,6/16/2022,Citrus-2,22:22,28.712466,-82.41760833
CONI-20802-1-2,Citrus,NA,0.928,3,y,6/16/2022,Citrus-2,NA,NA,NA
CONI-20803,Citrus,NA,0.232,1,y,6/19/2021,Citrus-1,21:04,28.76910138,-82.4197457
CONI-20806,Citrus,NA,0.34,1,n,6/23/2021,Citrus-1,22:05,28.72375267,-82.41793463
CONI-20807,Citrus,NA,0.98,1,y,6/25/2021,Citrus-1,20:55,28.82311087,-82.42008846
CONI-20808,Citrus,NA,0.812,1,y,6/25/2021,Citrus-1,21:15,28.82311087,-82.42008846
CONI-20809,Citrus,NA,2.623,1,n,7/4/2021,Citrus-1,22:50,28.8152059,-82.40536885
CONI-20810,Citrus,NA,0.426,1,y,7/7/2021,Citrus-1,21:15,28.77528691,-82.40906387
CONI-20811,Citrus,NA,0.231,1,y,7/9/2021,Citrus-1,21:08,28.80090724,-82.43655944
CONI-20813,Citrus,NA,1,1,y,7/11/2021,Citrus-1,20:52,28.79836213,-82.39963074
CONI-20814,Citrus,NA,0.37,1,y,7/12/2021,Citrus-1,21:00,28.77487191,-82.40558586
CONI-20815,Citrus,NA,1.13,1,n,7/20/2021,Citrus-1,20:55,28.83595508,-82.41989387
CONI-20817,Citrus,NA,0.23,1,y,6/4/2021,Citrus-1,20:13,30.58310165,-80.69578345
CONI-20818,Citrus,NA,0.227,1,n,6/7/2021,Citrus-1,20:55,28.72122457,-82.41976381
CONI-20819,Citrus,NA,76.4,1,y,6/7/2021,Citrus-1,21:15,28.72149494,-82.41721822
CONI-20821,Citrus,NA,0.331,1,y,6/9/2021,Citrus-1,0:00,28.79923269,-82.40270579
CONI-20822,Citrus,NA,0.26,1,y,6/16/2021,Citrus-1,21:00,28.80800629,-82.41982207
CONI-20823,Citrus,NA,0.224,1,y,6/16/2021,Citrus-1,21:00,28.80800629,-82.41982207
CONI-20824,Citrus,NA,0.658,1,y,7/7/2021,Citrus-1,20:56,28.77807832,-82.41225638
CONI-20825,Citrus,NA,1.37,1,y,7/13/2021,Citrus-1,21:10,28.72261856,-82.41592291
CONI-20827,Citrus,NA,1.53,1,y,8/6/2021,Citrus-1,20:40,28.81399576,-82.41838676
